Epoch,Discriminator_Real_Img_Dicision,Discriminator_Fake_Img_Dicision,Discriminator_Loss,Generator_Loss
1,"tf.Tensor(
[[20.306787  ]
 [19.664059  ]
 [15.433049  ]
 [-0.51895267]
 [22.858423  ]
 [ 4.2017136 ]
 [49.485348  ]
 [33.663433  ]
 [27.00768   ]
 [23.136076  ]
 [ 0.49072096]
 [22.588259  ]
 [ 9.760894  ]
 [ 9.201744  ]
 [ 4.602973  ]
 [ 9.709779  ]], shape=(16, 1), dtype=float32)",-2.7895448207855225,0.15266995131969452,2.849179983139038
2,"tf.Tensor(
[[10.172694  ]
 [19.913319  ]
 [-0.45557126]
 [18.216972  ]
 [19.742237  ]
 [ 3.2842941 ]
 [-0.7778844 ]
 [23.832075  ]
 [27.269348  ]
 [ 0.08659042]
 [ 4.2329116 ]
 [19.542574  ]
 [22.897392  ]
 [ 1.4918228 ]
 [19.656881  ]
 [18.474522  ]], shape=(16, 1), dtype=float32)",-6.921110153198242,0.18895336985588074,6.922096252441406
3,"tf.Tensor(
[[12.434218 ]
 [10.887973 ]
 [ 8.008477 ]
 [33.48194  ]
 [ 9.113299 ]
 [ 1.0678463]
 [16.918827 ]
 [32.95144  ]
 [23.216652 ]
 [19.35249  ]
 [26.426407 ]
 [18.326323 ]
 [10.357648 ]
 [ 8.398255 ]
 [27.702267 ]
 [21.600515 ]], shape=(16, 1), dtype=float32)",-3.4068853855133057,0.05111841857433319,3.4394922256469727
4,"tf.Tensor(
[[26.987823  ]
 [30.401299  ]
 [28.02388   ]
 [ 3.6785214 ]
 [31.974531  ]
 [ 5.473875  ]
 [21.632853  ]
 [18.326374  ]
 [ 7.2639313 ]
 [22.268843  ]
 [30.591661  ]
 [-0.68239707]
 [25.234406  ]
 [31.788101  ]
 [22.975086  ]
 [15.217001  ]], shape=(16, 1), dtype=float32)",-2.6366515159606934,0.13923415541648865,2.7058050632476807
5,"tf.Tensor(
[[27.118605 ]
 [23.367294 ]
 [11.908049 ]
 [19.646042 ]
 [15.2892065]
 [36.180344 ]
 [21.676157 ]
 [12.014247 ]
 [ 6.769251 ]
 [18.505215 ]
 [32.98756  ]
 [10.263989 ]
 [ 5.348532 ]
 [23.884748 ]
 [28.759977 ]
 [31.612932 ]], shape=(16, 1), dtype=float32)",-2.2995505332946777,0.09595765918493271,2.395137071609497
6,"tf.Tensor(
[[22.287895 ]
 [16.022541 ]
 [11.825124 ]
 [19.848513 ]
 [18.886164 ]
 [14.657789 ]
 [19.416481 ]
 [19.294281 ]
 [ 6.5501556]
 [ 2.8814895]
 [19.932056 ]
 [ 3.9296687]
 [17.072645 ]
 [16.854408 ]
 [11.006552 ]
 [20.08257  ]], shape=(16, 1), dtype=float32)",-4.145738124847412,0.020423337817192078,4.161445617675781
7,"tf.Tensor(
[[ 8.172432  ]
 [10.530461  ]
 [ 3.2847798 ]
 [24.563118  ]
 [23.248602  ]
 [26.100697  ]
 [21.863012  ]
 [27.850355  ]
 [20.934864  ]
 [28.927937  ]
 [16.933931  ]
 [18.734241  ]
 [19.801208  ]
 [ 0.19412978]
 [ 2.5210183 ]
 [16.330748  ]], shape=(16, 1), dtype=float32)",-3.424952268600464,0.07673041522502899,3.456984519958496
8,"tf.Tensor(
[[13.26196  ]
 [10.33412  ]
 [23.692314 ]
 [13.408594 ]
 [ 8.4667845]
 [ 7.464213 ]
 [13.506662 ]
 [-4.1999307]
 [15.934351 ]
 [10.549478 ]
 [18.925716 ]
 [11.118886 ]
 [12.448023 ]
 [11.688597 ]
 [21.876875 ]
 [26.289442 ]], shape=(16, 1), dtype=float32)",-5.063666343688965,0.269783079624176,5.0699687004089355
9,"tf.Tensor(
[[ 6.557231 ]
 [11.8693   ]
 [20.591404 ]
 [18.590631 ]
 [ 4.04949  ]
 [21.144438 ]
 [19.665047 ]
 [12.460301 ]
 [ 1.6523974]
 [ 7.4142346]
 [ 3.07325  ]
 [ 4.444082 ]
 [10.184751 ]
 [ 7.3535132]
 [ 8.512831 ]
 [ 7.0627394]], shape=(16, 1), dtype=float32)",-2.0857021808624268,0.1329173445701599,2.202791452407837
10,"tf.Tensor(
[[17.087358  ]
 [14.176367  ]
 [ 4.0013304 ]
 [-3.095774  ]
 [23.573807  ]
 [12.7948675 ]
 [ 3.5140913 ]
 [31.639988  ]
 [ 5.5203395 ]
 [-0.70298725]
 [19.16768   ]
 [ 4.267198  ]
 [29.71412   ]
 [41.513775  ]
 [22.479456  ]
 [ 2.5682693 ]], shape=(16, 1), dtype=float32)",-4.065878868103027,0.2910315692424774,4.082881450653076
